"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5, C6, C7, C8","8","1uf","",""
"2","IC1","1","PAM8303CBSC","SOP65P490X110-8N",""
"3","J1","1","Conn_01x03_Pin","",""
"4","J2","1","Conn_01x04_Pin","",""
"5","J3","1","Speaker Connector","",""
"6","J4","1","TP4056","SOIC127P600X175-9N",""
"7","J5","1","Charging Notches","",""
"8","J6","1","Battery Connector","",""
"9","Q1, Q2, Q3, Q4, Q5, Q6","6","IRLML6244","Package_TO_SOT_SMD:SOT-23",""
"10","R1, R3, R5, R7, R9, R11, R14, R15, R16","9","1","",""
"11","R2, R4, R6, R8, R10, R12, R13","7","100","",""
"12","SW1","1","SW_Push","",""
"13","U1, U2","2","XL-HD6070RGBC-A46L","footprint:LED-SMD_XL-HD6070RGBC-A46L",""
"14","U3","1","ESP32-S2-SOLO-2-N4","footprint:WIRELM-SMD_ESP32-S3-WROOM-1",""
"15","VR1","1","MCP1700x-330xxMB","Package_TO_SOT_SMD:SOT-89-3",""
"16","ZTS1","1","Microphone","SPU0414HR5H-SB",""
